people,ludzie
history,historia
way,sposób
art,sztuka
world,świat
information,Informacja
map,mapa
two,dwa
family,rodzina
government,rząd
health,zdrowie
system,system
computer,komputer
meat,mięso
year,rok
thanks,dzięki
music,muzyka
person,osoba
reading,czytanie
method,metoda
data,dane
food,jedzenie
understanding,zrozumienie
theory,teoria
law,prawo
bird,ptak
literature,literatura
problem,problem
software,oprogramowanie
control,kontrola
knowledge,"wiedza, umiejętności"
power,moc
ability,umiejętność
economics,Ekonomia
love,miłość
internet,Internet
television,telewizja
science,nauka
library,biblioteka
nature,Natura
fact,fakt
product,produkt
idea,pomysł
temperature,temperatura
investment,inwestycja
area,powierzchnia
society,społeczeństwo
activity,czynność
story,fabuła
industry,przemysł
media,głoska bezdźwięczna
thing,rzecz
oven,piekarnik
community,społeczność
definition,definicja
safety,bezpieczeństwo
quality,jakość
development,rozwój
language,język
management,zarządzanie
player,gracz
variety,różnorodność
video,wideo
week,tydzień
security,bezpieczeństwo
country,kraj
exam,egzamin
movie,film
organization,organizacja
equipment,ekwipunek
physics,fizyka
analysis,analiza
policy,polityka
series,seria
thought,myśl
basis,podstawa
boyfriend,chłopak
direction,kierunek
strategy,strategia
technology,technologia
army,armia
camera,aparat fotograficzny
freedom,wolność
paper,papier
environment,środowisko
child,dziecko
instance,instancja
month,miesiąc
truth,prawda
marketing,marketing
university,Uniwersytet
writing,pisanie
article,artykuł
department,departament
difference,różnica
goal,cel
news,Aktualności
audience,publiczność
fishing,Wędkarstwo
growth,wzrost
income,dochód
marriage,małżeństwo
user,użytkownik
combination,połączenie
failure,niepowodzenie
meaning,znaczenie
medicine,Medycyna
philosophy,filozofia
teacher,nauczyciel
communication,Komunikacja
night,noc
chemistry,chemia
disease,choroba
disk,dysk
energy,energia
nation,naród
road,Droga
role,rola
soup,zupa
advertising,reklama
location,Lokalizacja
success,sukces
addition,dodanie
apartment,apartament
education,Edukacja
math,matematyka
moment,za chwilę
painting,obraz
politics,Polityka
attention,Uwaga
decision,decyzja
event,zdarzenie
property,własność
shopping,zakupy
student,student
wood,drewno
competition,konkurencja
distribution,dystrybucja
entertainment,zabawa
office,gabinet
population,populacja
president,prezydent
unit,jednostka
category,Kategoria
cigarette,papieros
context,kontekst
introduction,wprowadzenie
opportunity,okazja
performance,wydajność
driver,kierowca
flight,lot
length,długość
magazine,magazyn
newspaper,Gazeta
relationship,związek
teaching,nauczanie
cell,komórka
dealer,kupiec
finding,odkrycie
lake,jezioro
member,członek
message,wiadomość
phone,telefon
scene,scena
appearance,wygląd
association,stowarzyszenie
concept,pojęcie
customer,klient
death,śmierć
discussion,dyskusja
housing,mieszkaniowy
inflation,inflacja
insurance,ubezpieczenie
mood,nastrój
woman,kobieta
advice,Rada
blood,krew
effort,wysiłek
expression,wyrażenie
importance,znaczenie
opinion,opinia
payment,Zapłata
reality,rzeczywistość
responsibility,odpowiedzialność
situation,sytuacja
skill,umiejętność
statement,komunikat
wealth,bogactwo
application,podanie
city,Miasto
county,Hrabstwo
depth,głębokość
estate,osiedle
foundation,Fundacja
grandmother,babcia
heart,serce
perspective,perspektywiczny
photo,zdjęcie
recipe,Przepis
studio,studio
topic,temat
collection,kolekcja
depression,depresja
imagination,wyobraźnia
passion,pasja
percentage,odsetek
resource,ratunek
setting,oprawa
ad,ogłoszenie
agency,agencja
college,Szkoła Wyższa
connection,połączenie
criticism,krytyka
debt,dług
description,opis
memory,pamięć
patience,cierpliwość
secretary,sekretarz
solution,rozwiązanie
administration,administracja
aspect,aspekt
attitude,nastawienie
director,dyrektor
personality,osobowość
psychology,psychologia
recommendation,rekomendacje
response,odpowiedź
selection,wybór
storage,przechowywanie
version,wersja
alcohol,alkohol
argument,argument
complaint,skarga
contract,kontrakt
emphasis,nacisk
highway,Autostrada
loss,utrata
membership,członkostwo
possession,posiadanie
preparation,przygotowanie
steak,stek
union,unia
agreement,umowa
cancer,rak
currency,waluta
employment,zatrudnienie
engineering,Inżynieria
entry,wejście
interaction,interakcja
mixture,mieszanina
preference,pierwszeństwo
region,region
republic,republika
tradition,tradycja
virus,wirus
actor,aktor
classroom,klasa
delivery,dostawa
device,urządzenie
difficulty,trudność
drama,dramat
election,wybór
engine,silnik
football,piłka nożna
guidance,poradnictwo
hotel,hotel
owner,właściciel
priority,priorytet
protection,ochrona
suggestion,sugestia
tension,napięcie
variation,zmiana
anxiety,niepokój
atmosphere,atmosfera
awareness,świadomość
bath,kąpiel
bread,chleb
candidate,kandydat
climate,klimat
comparison,porównanie
confusion,dezorientacja
construction,budowa
elevator,winda
emotion,emocja
employee,pracownik
employer,pracodawca
guest,Gość
height,wysokość
leadership,przywództwo
mall,centrum handlowe
manager,menedżer
operation,operacja
recording,nagranie
sample,próba
transportation,transport
charity,dobroczynność
cousin,kuzyn
disaster,katastrofa
editor,redaktor
efficiency,wydajność
excitement,podniecenie
extent,stopień
feedback,informacje zwrotne
guitar,gitara
homework,Praca domowa
leader,lider
mom,mama
outcome,wynik
permission,pozwolenie
presentation,prezentacja
promotion,awans
reflection,odbicie
refrigerator,lodówka
resolution,rozkład
revenue,dochód
session,sesja
singer,piosenkarz
tennis,tenis
basket,kosz
bonus,premia
cabinet,gabinet
childhood,dzieciństwo
church,kościół
clothes,ubranie
coffee,Kawa
dinner,obiad
drawing,rysunek
hair,włosy
hearing,przesłuchanie
initiative,inicjatywa
judgment,osąd
lab,laboratorium
measurement,pomiary
mode,tryb
mud,błoto
orange,Pomarańczowy
poetry,poezja
police,Policja
possibility,możliwość
procedure,procedura
queen,królowa
ratio,stosunek
relation,relacja
restaurant,restauracja
satisfaction,zadowolenie
sector,sektor
signature,podpis
significance,znaczenie
song,piosenka
tooth,ząb
town,miasto
vehicle,pojazd
volume,Tom
wife,żona
accident,wypadek
airport,Lotnisko
appointment,spotkanie
arrival,przyjazd
assumption,założenie
baseball,baseball
chapter,rozdział
committee,komisja
conversation,rozmowa
database,Baza danych
enthusiasm,entuzjazm
error,błąd
explanation,wyjaśnienie
farmer,rolnik
gate,brama
girl,dziewczynka
hall,sala
historian,historyk
hospital,szpital
injury,obrażenia
instruction,instrukcja
maintenance,konserwacja
manufacturer,producent
meal,posiłek
perception,postrzeganie
pie,ciasto
poem,wiersz
presence,obecność
proposal,wniosek
reception,Przyjęcie
replacement,zastąpienie
revolution,rewolucja
river,rzeka
son,syn
speech,przemówienie
tea,herbata
village,wioska
warning,ostrzeżenie
winner,zwycięzca
worker,pracownik
writer,pisarz
assistance,wsparcie
breath,oddech
buyer,kupujący
chest,skrzynia
chocolate,czekolada
conclusion,wniosek
contribution,wkład
cookie,ciastko
courage,odwaga
dad,tata
desk,biurko
drawer,szuflada
establishment,ustanowienie
examination,badanie
garbage,Śmieci
grocery,sklep spożywczy
honey,kochanie
impression,wrażenie
improvement,poprawa
independence,niezależność
insect,owad
inspection,kontrola
inspector,inspektor
king,król
ladder,drabina
menu,menu
penalty,rzut karny
piano,fortepian
potato,Ziemniak
profession,zawód
professor,profesor
quantity,Ilość
reaction,reakcja
requirement,wymaganie
salad,Sałatka
sister,siostra
supermarket,supermarket
tongue,język
weakness,słabość
wedding,ślub
affair,sprawa
ambition,ambicja
analyst,analityk
apple,jabłko
assignment,zadanie
assistant,asystent
bathroom,łazienka
bedroom,sypialnia
beer,piwo
birthday,urodziny
celebration,uroczystość
championship,mistrzostwo
cheek,policzek
client,klient
consequence,konsekwencja
departure,wyjazd
diamond,diament
dirt,brud
ear,ucho
fortune,fortuna
friendship,przyjaźń
funeral,pogrzeb
gene,gen
girlfriend,dziewczyna
hat,kapelusz
indication,wskazanie
intention,zamiar
lady,dama
midnight,północ
negotiation,negocjacja
obligation,obowiązek
passenger,pasażer
pizza,Pizza
platform,Platforma
poet,poeta
pollution,zanieczyszczenie
recognition,uznanie
reputation,reputacja
shirt,koszula
sir,Pan
speaker,głośnik
stranger,nieznajomy
surgery,operacja
sympathy,współczucie
tale,opowieść
throat,gardło
trainer,trener
uncle,wujek
youth,młodość
time,czas
work,praca
film,film
water,woda
money,pieniądze
example,przykład
while,podczas
business,biznes
study,nauka
game,gra
life,życie
form,Formularz
air,powietrze
day,dzień
place,miejsce
number,numer
part,część
field,pole
fish,ryba
back,z powrotem
process,proces
heat,ciepło
hand,dłoń
experience,doświadczenie
job,praca
book,książka
end,koniec
point,punkt
type,rodzaj
home,Dom
economy,gospodarka
value,wartość
body,ciało
market,rynek
guide,przewodnik
interest,zainteresowanie
state,stan
radio,radio
course,kierunek
company,firma
price,Cena £
size,rozmiar
card,karta
list,lista
mind,umysł
trade,handel
line,linia
care,opieka
group,Grupa
risk,ryzyko
word,słowo
fat,gruby
force,siła
key,klucz
light,lekki
training,trening
name,Nazwa
school,szkoła
top,Top
amount,ilość
level,poziom
order,zamówienie
practice,ćwiczyć
research,Badania
sense,sens
service,usługa
piece,kawałek
web,sieć
boss,szef
sport,sport
fun,zabawa
house,dom
page,strona
term,semestr
test,test
answer,odpowiedź
sound,dźwięk
focus,skupiać
matter,materia
kind,uprzejmy
soil,gleba
board,tablica
oil,olej
picture,obrazek
access,dostęp
garden,ogród
range,zasięg
rate,oceniać
reason,powód
future,przyszłość
site,teren
demand,żądanie
exercise,ćwiczenie
image,wizerunek
case,walizka
cause,przyczyna
coast,Wybrzeże
action,akcja
age,wiek
bad,zły
boat,łódź
record,rekord
result,wynik
section,Sekcja
building,budynek
mouse,mysz
cash,gotówka
class,klasa
nothing,nic
period,Kropka
plan,plan
store,sklep
tax,podatek
side,bok
subject,Przedmiot
space,przestrzeń
rule,reguła
stock,Zbiory
weather,pogoda
chance,szansa
figure,postać
man,człowiek
model,Model
source,źródło
beginning,początek
earth,Ziemia
program,program
chicken,kurczak
design,projekt
feature,funkcja
head,głowa
material,materiał
purpose,"cel, powód"
question,pytanie
rock,skała
salt,Sól
act,działać
birth,narodziny
car,samochód
dog,pies
object,obiekt
scale,skala
sun,słońce
note,Uwaga
profit,zysk
rent,wynajem
speed,prędkość
style,styl
war,wojna
bank,Bank
craft,rzemiosło
half,pół
inside,wewnątrz
outside,na zewnątrz
standard,standard
bus,autobus
exchange,Wymieniać się
eye,oko
fire,ogień
position,pozycja
pressure,nacisk
stress,naprężenie
advantage,korzyść
benefit,zasiłek
box,pudełko
frame,rama
issue,kwestia
step,krok
cycle,cykl
face,Twarz
item,pozycja
metal,metal
paint,farba
review,przejrzeć
room,Pokój
screen,ekran
structure,Struktura
view,widok
account,konto
ball,piłka
discipline,dyscyplina
medium,średni
share,dzielić
balance,saldo
bit,kawałek
black,czarny
bottom,Dolny
choice,wybór
gift,prezent
impact,wpływ
machine,maszyna
shape,kształt
tool,narzędzie
wind,wiatr
address,adres
average,średni
career,kariera
culture,kultura
morning,ranek
pot,garnek
sign,znak
table,stół
task,zadanie
condition,stan: schorzenie
contact,kontakt
credit,kredyt
egg,jajko
hope,nadzieja
ice,lód
network,sieć
north,północ
square,plac
attempt,próba
date,data
effect,efekt
link,połączyć
post,Poczta
star,gwiazda
voice,głos
capital,kapitał
challenge,wyzwanie
friend,przyjaciel
self,samego siebie
shot,strzał
brush,szczotka
couple,para
debate,debata
exit,Wyjście
front,z przodu
function,funkcjonować
lack,brak
living,życie
plant,roślina
plastic,Plastikowy
spot,miejsce
summer,lato
taste,smak
theme,motyw
track,tor
wing,skrzydło
brain,mózg
button,przycisk
click,Kliknij
desire,pragnienie
foot,stopa
gas,gaz
influence,wpływ
notice,ogłoszenie
rain,deszcz
wall,Ściana
base,baza
damage,uszkodzić
distance,dystans
feeling,uczucie
pair,para
savings,oszczędności
staff,personel
sugar,cukier
target,cel
text,tekst
animal,zwierzę
author,autor
budget,budżet
discount,zniżka
file,plik
ground,ziemia
lesson,lekcja
minute,minuta
officer,oficer
phase,faza
reference,odniesienie
register,zarejestrować
sky,niebo
stage,etap
stick,kij
title,tytuł
trouble,kłopot
bowl,miska
bridge,most
campaign,kampania
character,postać
club,Klub
edge,Brzeg
evidence,dowód
fan,wentylator
letter,list
lock,zamek
maximum,maksymalny
novel,powieść
option,opcja
pack,Pakiet
park,park
plenty,dużo
quarter,jedna czwarta
skin,skóra
sort,sortować
weight,waga
baby,niemowlę
background,tło
carry,nieść
dish,danie
factor,czynnik
fruit,owoc
glass,szkło
joint,połączenie
master,mistrz
muscle,mięsień
red,czerwony
strength,siła
traffic,ruch drogowy
trip,wycieczka
vegetable,warzywo
appeal,apel
chart,wykres
gear,koło zębate
ideal,ideał
kitchen,kuchnia
land,wylądować
log,log
mother,mama
net,netto
party,przyjęcie
principle,zasada
relative,krewny
sale,sprzedaż
season,pora roku
signal,sygnał
spirit,duch
street,ulica
tree,drzewo
wave,fala
belt,pas
bench,ławka
commission,komisja
copy,Kopiuj
drop,upuszczać
minimum,minimum
path,ścieżka
progress,postęp
project,projekt
sea,morze
south,południe
status,status
stuff,rzeczy
ticket,bilet
tour,wycieczka
angle,kąt
blue,niebieski
breakfast,śniadanie
confidence,pewność siebie
daughter,córka
degree,stopień
doctor,lekarz
dot,kropka
dream,marzenie
duty,obowiązek
essay,Praca pisemna
father,ojciec
fee,opłata
finance,finanse
hour,godzina
juice,sok
limit,limit
luck,szczęście
milk,mleko
mouth,usta
peace,pokój
pipe,rura
seat,siedzenie
stable,stabilny
storm,burza
substance,substancja
team,zespół
trick,sztuczka
afternoon,popołudnie
bat,nietoperz
beach,plaża
blank,pusty
catch,złapać
chain,łańcuch
consideration,wynagrodzenie
cream,krem
crew,załoga
detail,Szczegół
gold,złoto
interview,wywiad
kid,dziecko
mark,znak
match,mecz
mission,misja
pain,ból
pleasure,przyjemność
score,wynik
screw,wkręt
sex,seks
shop,sklep
shower,prysznic
suit,garnitur
tone,ton
window,okno
agent,agent
band,zespół muzyczny
block,blok
bone,kość
calendar,kalendarz
cap,czapka
coat,płaszcz
contest,zawody
corner,kąt
court,Sąd
cup,Puchar
district,dzielnica
door,drzwi
east,Wschód
finger,palec
garage,garaż
guarantee,gwarancja
hole,otwór
hook,hak
implement,wprowadzić w życie
layer,warstwa
lecture,wykład
lie,kłamstwo
manner,sposób
meeting,spotkanie
nose,nos
parking,parking
partner,partner
profile,profil
respect,szacunek
rice,Ryż
routine,rutyna
schedule,harmonogram
swimming,pływanie
telephone,telefon
tip,Wskazówka
winter,zimowy
airline,linia lotnicza
bag,torba
battle,bitwa
bed,łóżko
bill,rachunek
bother,zawracać głowę
cake,ciasto
code,kod
curve,krzywa
designer,projektant
dimension,wymiar
dress,sukienka
ease,łatwość
emergency,nagły wypadek
evening,wieczór
extension,rozbudowa
farm,gospodarstwo rolne
fight,walka
gap,luka
grade,stopień
holiday,wakacje
horror,przerażenie
horse,koń
host,gospodarz
husband,mąż
loan,pożyczka
mistake,błąd
mountain,Góra
nail,gwóźdź
noise,hałas
occasion,okazja
package,pakiet
patient,cierpliwy
pause,pauza
phrase,wyrażenie
proof,dowód
race,wyścig
relief,ulga
sand,piasek
sentence,zdanie
shoulder,ramię
smoke,palić
stomach,żołądek
string,strunowy
tourist,turysta
towel,ręcznik
vacation,wakacje
west,Zachód
wheel,koło
wine,wino
arm,ramię
aside,na bok
associate,współpracownik
bet,Zakład
blow,cios
border,granica
branch,gałąź
breast,pierś
brother,brat
buddy,kumpel
bunch,wiązka
chip,żeton
coach,trener
cross,krzyż
document,dokument
draft,wersja robocza
dust,kurz
expert,ekspert
floor,podłoga
god,Bóg
golf,golf
habit,nawyk
iron,żelazo
judge,sędzia
knife,nóż
landscape,krajobraz
league,liga
mail,Poczta
mess,bałagan
native,ojczysty
opening,otwarcie
parent,rodzic
pattern,wzór
pin,kołek
pool,basen
pound,funt
request,żądanie
salary,wynagrodzenie
shame,wstyd
shelter,schron
shoe,but
silver,srebro
tackle,sprzęt
tank,zbiornik
trust,zaufanie
assist,wspierać
bake,piec
bar,bar
bell,dzwon
bike,rower
blame,winić
boy,chłopiec
brick,cegła
chair,krzesło
closet,gabinet
clue,Wskazówka
collar,kołnierz
comment,komentarz
conference,konferencja
devil,diabeł
diet,dieta
fear,strach
fuel,paliwo
glove,rękawica
jacket,kurtka
lunch,lunch
monitor,monitor
mortgage,hipoteka
nurse,pielęgniarka
pace,tempo
panic,panika
peak,szczyt
plane,samolot
reward,nagroda
row,rząd
sandwich,kanapka
shock,zaszokować
spite,złość
spray,rozpylać
surprise,niespodzianka
till,do
transition,przejście
weekend,weekend
welcome,Witamy
yard,dziedziniec
alarm,alarm
bend,zakręt
bicycle,rower
bite,gryźć
blind,ślepy
bottle,butelka
cable,kabel
candle,świeca
clerk,urzędnik
cloud,Chmura
concert,koncert
counter,licznik
flower,kwiat
grandfather,Dziadek
harm,zaszkodzić
knee,kolano
lawyer,prawnik
leather,Skórzany
load,Załaduj
mirror,lustro
neck,szyja
pension,pensjonat
plate,talerz
purple,fioletowy
ruin,ruina
ship,statek
skirt,Spódnica
slice,plasterek
snow,śnieg
specialist,specjalista
stroke,uderzenie
switch,przełącznik
trash,śmieci
tune,melodia
zone,strefa
anger,gniew
award,nagroda
bid,oferta
bitter,gorzki
boot,bagażnik
bug,pluskwa
camp,obóz
candy,cukierek
carpet,wykładzina podłogowa
cat,kot
champion,mistrz
channel,kanał
clock,zegar
comfort,komfort
cow,krowa
crack,pęknięcie
engineer,inżynier
entrance,wejście
fault,wina
grass,trawa
guy,chłopak
hell,piekło
highlight,atrakcja
incident,incydent
island,wyspa
joke,żart
jury,jury
leg,noga
lip,warga
mate,kumpel
motor,silnik
nerve,nerw
passage,przejście
pen,długopis
pride,duma
priest,kapłan
prize,nagroda
promise,obietnica
resident,Mieszkaniec
resort,Ośrodek wczasowy
ring,pierścień
roof,dach
rope,lina
sail,żagiel
scheme,schemat
script,scenariusz
sock,skarpetka
station,stacja
toe,palec u nogi
tower,wieża
truck,ciężarówka
witness,świadek
a,za
you,ty
it,to
can,mogą
will,będzie
if,gdyby
one,jeden
many,wiele
most,większość
other,inny
use,posługiwać się
make,robić
good,dobrze
look,Popatrz
help,Wsparcie
go,iść
great,świetny
being,istota
few,mało
might,moc
still,nadal
public,publiczny
read,czytać
keep,trzymać
start,początek
give,dać
human,człowiek
local,lokalny
general,generał
she,Ona
specific,konkretny
long,długo
play,grać
feel,czuć
high,wysoki
tonight,dzisiejszej nocy
put,położyć
common,wspólny
set,zestaw
change,zmiana
simple,prosty
past,przeszłość
big,duży
possible,możliwy
particular,szczególny
today,dzisiaj
major,poważny
personal,osobisty
current,obecny
national,krajowy
cut,skaleczenie
natural,naturalny
physical,fizyczny
show,pokazać
try,próbować
check,czek
second,druga
call,połączenie
move,ruszaj się
pay,zapłacić
let,pozwolić
increase,zwiększać
single,pojedynczy
individual,indywidualny
turn,skręcać
ask,zapytać
buy,Kup
guard,strzec
hold,utrzymać
main,Główny
offer,oferta
potential,potencjał
professional,profesjonalny
international,międzynarodowy
travel,podróżować
cook,gotować
alternative,alternatywny
following,następujący
special,specjalny
working,pracujący
whole,cały
dance,taniec
excuse,pretekst
cold,zimno
commercial,Reklama w telewizji
low,Niska
purchase,zakup
deal,rozdać
primary,podstawowa
worth,wartość
fall,spadek
necessary,niezbędny
positive,pozytywny
produce,produkować
search,Szukaj
present,teraźniejszość
spend,wydać
talk,rozmowa
creative,twórczy
tell,powiedzieć
cost,koszt
drive,napęd
green,Zielony
support,wsparcie
glad,zadowolony
remove,usunąć
return,powrót
run,biegać
complex,złożony
due,z powodu
effective,efektywny
middle,środkowy
regular,regularny
reserve,rezerwować
independent,niezależny
leave,pozostawiać
original,oryginalny
reach,dosięgnąć
rest,odpoczynek
serve,obsługiwać
watch,zegarek
beautiful,piękny
charge,opłata
active,aktywny
break,przerwa
negative,negatywny
safe,bezpieczny
stay,zostać
visit,odwiedzić
visual,wizualny
affect,oddziaływać
cover,pokrywa
report,raport
rise,wzrost
walk,spacerować
white,biały
beyond,poza
junior,junior
pick,wybierać
unique,wyjątkowy
anything,byle co
classic,klasyczny
final,finał
lift,winda
mix,mieszać
private,prywatny
stop,zatrzymać
teach,nauczać
western,Zachodni
concern,sprawa
familiar,znajomy
fly,latać
official,urzędnik
broad,szeroki
comfortable,wygodny
gain,zdobyć
maybe,może
rich,bogaty
save,zapisać
stand,stoisko
young,młody
fail,zawieść
heavy,ciężki
hello,cześć
lead,prowadzić
listen,słuchać
valuable,cenny
worry,martwić się
handle,uchwyt
leading,prowadzący
meet,spotykać się
release,wydanie
sell,Sprzedać
finish,koniec
normal,normalna
press,naciśnij
ride,jazda
secret,sekret
spread,rozpiętość
spring,wiosna
tough,twardy
wait,czekać
brown,brązowy
deep,głęboki
display,pokaz
flow,pływ
hit,trafienie
objective,cel
shoot,strzelać
touch,dotknąć
cancel,Anuluj
chemical,chemiczny
cry,płakać
dump,wysypisko
extreme,skrajny
push,Pchać
conflict,konflikt
eat,jeść
fill,napełnić
formal,formalny
jump,skok
kick,kopnięcie