you,ty
rescue,ratować
confession,wyznanie
lover,kochanek
impression,wrażenie
gate,brama
fantasy,Fantazja
reputation,reputacja
It,To
knowledge,"wiedza, umiejętności"
inn,Zajazd
Europe,Europa
suffer,ponieść
argument,argument
homework,Praca domowa
cancel,Anuluj
director,dyrektor
bath,kąpiel
prepare,przygotować
wheel,koło
crisis,kryzys
Monday,poniedziałek
pink,różowy
gentleman,pan
toilet,toaleta
agreement,umowa
ill,chory
eleven,jedenaście
wide,szeroki
popular,popularny
clinic,klinika
exchange,Wymieniać się
university,Uniwersytet
load,Załaduj
winter,zimowy
swim,pływać
holiday,wakacje
material,materiał
parent,rodzic
wood,drewno
article,artykuł
math,matematyka
grant,dotacja
orange,Pomarańczowy
Thursday,czwartek
dozen,tuzin
bread,chleb
silence,cisza
duck,kaczka
seventy,siedemdziesiąt
butter,masło
carrot,marchewka
alcohol,alkohol
mum,milczący
headache,bół głowy
tennis,tenis
Tuesday,wtorek
theatre,teatr
ninety,dziewięćdziesiąt
guide,przewodnik
royal,królewski
ability,umiejętność
wing,skrzydło
tradition,tradycja
towel,ręcznik
earn,zarabiać
habit,nawyk
event,zdarzenie
basket,kosz
balance,saldo
exercise,ćwiczenie
forth,naprzód
eighteen,osiemnaście
perform,wykonać
everyday,codziennie
village,wioska
journey,podróż
supply,Dostawa
helpful,pomocny
useless,nieprzydatny
fourteen,czternaście
gum,guma
replace,zastąpić
emotion,emocja
stubborn,uparty
provide,zapewniać
beef,wołowina
nephew,bratanek
victory,zwycięstwo
title,tytuł
furniture,meble
blanket,koc
surface,powierzchnia
niece,siostrzenica
gloves,rękawiczki
soap,mydło
signature,podpis
zoo,ogród zoologiczny
cope,sprostać
compound,złożony
abuse,nadużycie
accurate,dokładny
acquire,nabyć
bake,piec
barrier,bariera
battery,bateria
beard,zarost
behave,zachowywać się
beside,oprócz
bicycle,rower
bin,kosz
biscuit,Herbatnik
bonus,premia
brush,szczotka
bucket,wiadro
budget,budżet
butcher,rzeźnik
carpet,wykładzina podłogowa
centimetre,centymetr
cereal,płatki śniadaniowe
certificate,certyfikat
champion,mistrz
chemical,chemiczny
cheque,czek
cherry,wiśnia
cigarette,papieros
cinema,kino
citizen,obywatel
classroom,klasa
data,dane
darling,kochanie
deaf,głuchy
delay,opóźnienie
diary,Dziennik
dish,danie
eastern,wschodni
economic,gospodarczy
email,e-mail
employ,zatrudniać
enable,włączyć
fee,opłata
finance,finanse
flow,pływ
formula,formuła
frequent,częsty
fridge,lodówka
fry,smażyć
fulfil,spełnić
industry,przemysł
injury,obrażenia
institute,instytut
jam,dżem
journalist,dziennikarz
absence,brak
keen,zapalony
kettle,czajnik
keyboard,klawiatura
knee,kolano
label,etykieta
laboratory,laboratorium
labour,rodzić
lack,brak
ladder,drabina
lamb,owieczka
lamp,lampa
landlord,gospodarz
lazy,leniwy
leader,lider
leadership,przywództwo
leaf,liść
lean,pochylać się
leather,Skórzany
lend,wypożyczać
leisure,wolny czas
log,log
logical,logiczny
lorry,ciężarówka
library,biblioteka
mainly,głównie
maintain,utrzymać
maintenance,konserwacja
major,poważny
mall,centrum handlowe
manner,sposób
margin,margines
marvellous,cudowny
massive,masywny
narrow,wąski
native,ojczysty
naughty,niegrzeczny
nearby,blisko
neighbour,sąsiad
net,netto
network,sieć
nicely,ładnie
no way,nie ma mowy
object,obiekt
objection,sprzeciw
obligation,obowiązek
observation,obserwacja
observe,przestrzegać
obtain,uzyskać
occasion,okazja
occupy,zająć
occur,pojawić się
ocean,ocean
o’clock,godzina
of course,oczywiście
operate,obsługiwać
oppose,sprzeciwiać się
pace,tempo
pad,Podkładka
palace,pałac
pale,blady
panic,panika
parcel,paczka
parliament,parlament
participate,uczestniczyć
partly,częściowo
passenger,pasażer
patience,cierpliwość
path,ścieżka
pattern,wzór
pause,pauza
payment,Zapłata
qualify,zakwalifikować
quality,jakość
quantity,Ilość
rail,szyna
railway,kolej żelazna
range,zasięg
rapid,nagły
rare,rzadko spotykany
rarely,rzadko
react,reagować
receipt,paragon
receive,otrzymać
safety,bezpieczeństwo
sail,żagiel
salad,Sałatka
salary,wynagrodzenie
sale,sprzedaż
salt,Sól
sand,piasek
sandwich,kanapka
satellite,satelita
satisfaction,zadowolenie
sauce,sos
sausage,kiełbasa
scale,skala
scheme,schemat
scratch,zadraśnięcie
screen,ekran
script,scenariusz
seal,foka
season,pora roku
secondary,wtórny
seed,nasionko
seek,szukać
select,Wybierz
senior,senior
sensible,rozsądny
separate,oddzielny
sequence,sekwencja
servant,sługa
session,sesja
settlement,osada
severe,ciężki: Silny
shadow,cień
tablet,tablet
tail,ogon
tale,opowieść
tap,kran
target,cel
task,zadanie
tax,podatek
taxi,Taxi
tea,herbata
telly,telewizja
technology,technologia
telephone,telefon
temperature,temperatura
unable,niezdolny
undertake,podjąć
uniform,mundur
unlike,w odróżnieniu
vacation,wakacje
variation,zmiana
vary,różnią się
vast,ogromny
vegetable,warzywo
yard,dziedziniec
yellow,żółty
wage,gaża
wake,budzić
wander,zbłądzić
ward,Oddział
wardrobe,szafa
weakness,słabość
wealth,bogactwo
web,sieć
website,stronie internetowej
western,Zachodni
whatsoever,cokolwiek
whereas,natomiast
wooden,z drewna
wool,wełna
workshop,warsztat
kilometre,kilometr
largely,w dużej mierze
lunchtime,pora obiadu
link,połączyć
liquid,ciekły
limit,limit
literature,literatura
mushroom,Grzyb
musical,musical
muscle,mięsień
movement,ruch
mouse,mysz
mountain,Góra
northern,północny
overseas,za granicą
ownership,własność
programme,program
pupil,uczeń
pub,pub
primarily,głównie
presume,przypuszczać
predict,"przepowiadać, wywróżyć"
practise,ćwiczyć
praise,pochwała
potato,Ziemniak
post office,Poczta
pool,basen
politician,polityk
policeman,policjant
poem,wiersz
plug,wtyczka
petrol,benzyna
pepper,pieprz
pension,pensjonat
pencil,ołówek
reduce,zmniejszyć
region,region
rice,Ryż
scientist,naukowiec
sheep,owca
sheet,arkusz
shelf,półka
shout,krzyczeć
singer,piosenkarz
slice,plasterek
slim,szczupły
smoking,palenie
sole,podeszwa
spoon,łyżka
steak,stek
strawberry,truskawka
strict,ścisły
struggle,borykać się
submit,Zatwierdź
supermarket,supermarket
supper,kolacja
symbol,symbol
territory,terytorium
text,tekst
toe,palec u nogi
tomato,pomidor
tooth,ząb
tourist,turysta
tower,wieża
traditional,tradycyjny
translate,Tłumaczyć
transport,transport
trousers,spodnie
tube,rura
unlikely,nieprawdopodobne
useful,przydatny
via,przez
visual,wizualny
volume,Tom
yet,jeszcze
youth,młodość
had,miał
investigation,dochodzenie
vine,wino
T-shirt,podkoszulek
apricot,morela
attribute,atrybut
beetle,chrząszcz
bracket,wspornik
concise,zwięzły
decay,rozkład
doze,drzemać
farther,dalej
lavatory,toaleta
litre,litr
metre,metr
noun,rzeczownik
pigeon,Gołąb
porridge,owsianka
raspberry,malina
appreciate,doceniać
responsible,odpowiedzialny
fought,walczył
pride,duma
solve,rozwiązać
hopefully,ufnie
pine,sosna
mate,kumpel
illegal,nielegalny
matt,matowy
con,kon
maid,pokojówka
punch,stempel
mayor,burmistrz
recall,odwołanie
bug,pluskwa
defend,bronić
painful,bolesny
rat,szczur
cooking,gotowanie
button,przycisk
sixty,sześćdziesiąt
pity,szkoda
coach,trener
row,rząd
awhile,chwila
pen,długopis
confidence,pewność siebie
carter,furman
image,wizerunek
hers,jej
role,rola
refuse,odrzucać
determined,ustalona
progress,postęp
military,wojskowy
artist,artysta
gym,siłownia
cruel,okrutny
traffic,ruch drogowy
mental,psychiczny
poison,zatruć
expert,ekspert
bull,byk
benefit,zasiłek
secretary,sekretarz
sneak,skradać się
mix,mieszać
firm,firma
privacy,Prywatność
pot,garnek
twins,Bliźnięta
swing,huśtawka
successful,odnoszący sukcesy
scream,krzyk
solid,solidny
flash,Lampa błyskowa
crush,zmiażdżyć
ambulance,ambulans
wallet,portfel
discovery,odkrycie
officially,oficjalnie
gang,banda
till,do
rise,wzrost
option,opcja
laundry,pralnia
former,były
assure,gwarantować
skip,pominąć
fail,zawieść
accuse,oskarżać
plant,roślina
lower,niższy
bored,znudzony
soda,Soda
silver,srebro
sheriff,szeryf
suite,zestaw
section,Sekcja
commit,popełnić
suicide,samobójstwo
spread,rozpiętość
fishing,Wędkarstwo
bat,nietoperz
yell,krzyk
league,liga
proper,właściwy
fifth,piąty
solution,rozwiązanie
sharp,ostry
giant,ogromny
nor,ani
latest,najnowszy
ash,popiół
highly,wysoko
audience,publiczność
winner,zwycięzca
insist,obstawać
cheer,dopingować
flesh,ciało
district,dzielnica
routine,rutyna
adult,dorosły
spike,kolec
awfully,strasznie
thin,cienki
fever,gorączka
female,Płeć żeńska
sweat,pocić się
silent,cichy
clever,sprytny
request,żądanie
prize,nagroda
fully,całkowicie
estate,osiedle
union,unia
goodnight,dobranoc
divorced,rozwiedziony
despite,pomimo
surely,pewno
confess,wyznać
bless,błogosławić
chip,żeton
zero,zero
potential,potencjał
wolf,Wilk
chill,chłód
blonde,blond
brains,mózg
agency,agencja
degree,stopień
unusual,niezwykły
joint,połączenie
rob,obrabować
cure,lekarstwo
covering,pokrycie
newspaper,Gazeta
coast,Wybrzeże
grave,mogiła
direct,bezpośredni
cheating,oszukiwanie
quarter,jedna czwarta
mixed,mieszany
brand,Marka
toy,zabawka
policy,polityka
competition,konkurencja
reasonable,rozsądny
curse,przekleństwo
dessert,deser
rolling,walcowanie
alien,obcy
cloth,płótno
ancient,starożytny
wore,nosił
value,wartość
site,teren
secure,bezpieczne
spit,pluć
pilot,pilot
penny,grosz
offense,wykroczenie
dust,kurz
conscience,sumienie
invitation,zaproszenie
hidden,ukryty
grief,smutek
smiling,uśmiechnięty
destiny,przeznaczenie
bowl,miska
pregnancy,ciąża
prisoner,więzień
delivery,dostawa
virus,wirus
shrink,kurczyć się
influence,wpływ
freezing,zamrażanie
concert,koncert
wreck,wrak
chain,łańcuch
walker,piechur
wire,drut
presence,obecność
anxious,niespokojny
version,wersja
wishes,życzenia
bound,uwiązany
charm,urok
frame,rama
boom,Bum
vice,wice
opera,opera
nonsense,nonsens
fright,strach
downtown,śródmieście
actual,rzeczywisty
spin,obracać
classic,klasyczny
civil,cywilny
tool,narzędzie
education,Edukacja
wrap,owinąć
torture,torturować
location,Lokalizacja
loan,pożyczka
effort,wysiłek
owner,właściciel
fairy,wróżka
per,za
necessarily,koniecznie
county,Hrabstwo
contest,zawody
print,wydrukować
motel,motel
directly,bezpośrednio
underwear,Bielizna
exhaust,wydechowy
particularly,szczególnie
carefully,ostrożnie
trace,ślad
smooth,gładki
recovery,poprawa
intention,zamiar
enter,wchodzić
belt,pas
standard,standard
sacrifice,poświęcać się
courage,odwaga
attract,pociągać
bay,zatoka
remove,usunąć
intense,intensywny
violence,przemoc
heal,uzdrowić
attempt,próba
unfair,niesprawiedliwy
loyal,wierny
approach,podejście
slowly,powoli
normally,normalnie
actor,aktor
plain,Równina
attic,poddasze
pet,zwierzę domowe
threaten,grozić
motion,ruch
collection,kolekcja
incident,incydent
failure,niepowodzenie
imagination,wyobraźnia
counsellor,doradca
opposite,naprzeciwko
highest,najwyższa
gross,obrzydliwy
golden,złoty
badge,odznaka
Italian,Włoski
visiting,przyjezdny
studio,studio
naturally,naturalnie
frozen,mrożony
trunk,bagażnik samochodowy
armed,uzbrojony
twisted,skręcone
costume,kostium
temporary,chwilowy
sixteen,szesnaście
zone,strefa
kitty,koteczek
junk,dżonka
honorary,honorowy
priest,kapłan
cable,kabel
affect,oddziaływać
happily,szczęśliwie
leading,prowadzący
host,gospodarz
authority,autorytet
commercial,Reklama w telewizji
admire,podziwiać
fund,fundusz
barn,stodoła
deeply,głęboko
wrapped,owinięty
tense,czas
sport,sport
route,trasa
plastic,Plastikowy
election,wybór
pierce,przebić
mortal,śmiertelny
fascinating,fascynujący
chosen,wybrany
shown,pokazane
abandon,porzucić
china,Chiny
arrangement,układ
agenda,program
series,seria
literally,dosłownie
propose,zaproponować
honesty,uczciwość
basketball,Koszykówka
underneath,pod spodem
soldier,żołnierz
review,przejrzeć
lecture,wykład
eighty,osiemdziesiąt
brandy,Brandy
torn,rozdarty
relief,ulga
golf,golf
counter,licznik
transfer,transfer
response,odpowiedź
channel,kanał
backup,utworzyć kopię zapasową
identity,tożsamość
differently,różnie
spy,szpieg
deck,pokład
biological,biologiczny
so,więc
minor,mniejszy
ease,łatwość
creep,pełzanie
will,będzie
waitress,kelnerka
skill,umiejętność
wave,fala
thee,ciebie
reception,Przyjęcie
pin,kołek
diner,tania restauracja
annoying,denerwujący
goal,cel
council,rada
mass,masa
sergeant,sierżant
international,międzynarodowy
gig,gig
blast,podmuch
basic,podstawowy
clown,błazen
rub,pocierać
customer,klient
creature,kreatura
snap,kłapnięcie
prime,główny
handling,obsługa
eaten,zjedzony
therapist,terapeuta
comment,komentarz
sink,tonąć
reporter,reporter
priority,priorytet
gain,zdobyć
fed,karmiony
warehouse,magazyn
virgin,dziewica
shy,nieśmiały
loyalty,lojalność
inspector,inspektor
candle,świeca
pleasant,przyjemne
media,głoska bezdźwięczna
castle,zamek
permanent,stały
financial,budżetowy
demand,żądanie
assault,atak
tend,zmierzać
motive,motyw
unconscious,nieprzytomny
museum,muzeum
alley,aleja
swimming,pływanie
nap,drzemka
mysterious,tajemniczy
unhappy,nieszczęśliwy
tone,ton
liberty,wolność
bang,huk
award,nagroda
cooper,bednarz
childhood,dzieciństwo
causless,causless
sample,próba
background,tło
toss,podrzucenie
mob,tłum
misery,nieszczęście
central,centralny
boots,buty
thief,złodziej
squeeze,ściskać
lobby,lobby
ego,ego
drama,dramat
noble,szlachetny
facing,okładzina
poker,poker
cookie,ciastko
digging,kopanie
creepy,przerażający
comparable,porównywalny
trail,ślad
saint,święty
rotten,zgniły
liver,wątroba
drawn,pociągnięty
device,urządzenie
magical,magiczny
moral,morał
attached,przywiązany
searching,badawczy
flew,latał
depressed,w depresji
aisle,przejście
underground,pod ziemią
pro,zawodowiec
amen,Amen
vow,przysięga
proposal,wniosek
pit,dół
darn,cerować
clay,glina
arrange,zorganizować
annulment,unieważnienie
user,użytkownik
squad,Drużyna
represent,przedstawiać
product,produkt
afterward,później
adventure,przygoda
resist,opierać się
piano,fortepian
flag,flaga
debt,dług
darkness,ciemność
violent,gwałtowny
tag,etykietka
strip,rozebrać się
hip,cześć p
celebration,uroczystość
below,poniżej
paperwork,Papierkowa robota
mighty,potężny
typical,typowy
stable,stabilny
pound,funt
pillow,poduszka
mature,dojrzały
lap,podołek
current,obecny
bum,tyłek
tension,napięcie
tank,zbiornik
stroke,uderzenie
steady,stały
overnight,nocny
meanwhile,W międzyczasie
chips,frytki
boxing,boks
collect,zebrać
tragedy,tragedia
therefore,w związku z tym
spoil,zepsuć
realm,królestwo
profile,profil
wipe,wycierać
surgeon,chirurg
stretch,rozciągać
neat,schludny
fox,lis
confident,pewni
anti,anty
perspective,perspektywiczny
designer,projektant
climb,wspinać się
punishment,kara
finest,najlepsza
hint,Wskazówka
twist,skręcać
trigger,cyngiel
proceed,kontynuować
lip,warga
jersey,golf
fries,frytki
worries,zmartwienia
handy,poręczny
disappoint,zawieść
crawl,czołgać się
convicted,skazany
lit,oświetlony
flip,trzepnięcie
counsel,rada
kit,zestaw
thick,gruby
minister,minister
jewellery,biżuteria
goose,gęś
average,średni
creative,twórczy
compliment,komplement
cage,klatka szybowa
Wednesday,środa
burger,burger
seventeen,siedemnaście
menu,menu
bean,fasola
harbour,port
strategy,strategia
similar,podobny
invent,wymyślać
hood,kaptur
announce,ogłosić
slave,niewolnik
statue,statua
surrender,poddanie się
envelope,koperta
sunshine,światło słoneczne
potatoes,ziemniaki
plea,zarzut
side,bok
application,podanie
random,losowy
guitar,gitara
frog,żaba
kidney,nerka
fog,mgła
hike,wycieczka
essay,Praca pisemna
fiancée,narzeczona
kindness,życzliwość
elephant,słoń
bush,krzak
jeans,dżinsy
terror,terror
November,listopad
September,wrzesień
October,październik
pronounce,wymawiać
blink,migać
abroad,za granicą
absorb,absorbować
academic,akademicki
acceptable,do przyjęcia
accommodation,nocleg
accompany,towarzyszyć
achieve,osiągać
achievement,osiągnięcie
acid,kwas
adapt,przystosować się
adequate,odpowiedni
adjust,dostosować
administration,administracja
adopt,przyjąć
advance,postęp
advertisement,Reklama
advise,doradzać
aggressive,agresywny
agriculture,rolnictwo
backwards,wstecz
beforehand,uprzednio
behalf,imieniu
beneath,pod
bid,oferta
bloke,facet
boil,gotować
boiler,bojler
border,granica
bounce,odbić się
branch,gałąź
breast,pierś
brick,cegła
brief,krótki
briefly,krótko
broad,szeroki
bump,guz
buyer,kupujący
cabinet,gabinet
calculate,Oblicz
calendar,kalendarz
candidate,kandydat
cap,czapka
capacity,Pojemność
capture,zdobyć
catalogue,katalog
category,Kategoria
cease,zaprzestać
ceiling,sufit
chairman,przewodniczący
championship,mistrzostwo
chap,facet
chapter,rozdział
characteristic,Charakterystyka
chart,wykres
cheek,policzek
chemist,chemik
chemistry,chemia
clerk,urzędnik
click,Kliknij
climate,klimat
coal,węgiel
coin,moneta
collapse,zawalić się
collar,kołnierz
colleague,współpracownik
consent,zgoda
daft,stuknięty
daily,codziennie
database,Baza danych
debate,debata
decade,dekada
declare,ogłosić
decline,upadek
define,definiować
definition,definicja
deliberately,celowo
democracy,demokracja
demonstration,demonstracja
dentist,dentysta
departure,wyjazd
dependent,zależny
deposit,kaucja
depth,głębokość
derive,czerpać
desire,pragnienie
detect,wykryć
determination,determinacja
diet,dieta
discipline,dyscyplina
discount,zniżka
disk,dysk
dismiss,oddalić
display,pokaz
economics,Ekonomia
economy,gospodarka
edition,wydanie
editor,redaktor
effective,efektywny
efficiency,wydajność
elderly,w podeszłym wieku
electric,elektryczny
electricity,Elektryczność
elsewhere,gdzie indziej
emerge,pojawić się
emphasis,nacisk
empire,imperium
employer,pracodawca
employee,pracownik
encounter,spotkanie
encourage,zachęcać
engineer,inżynier
enhance,wzmacniać
enormous,ogromny
facility,obiekt
factor,czynnik
factory,fabryka
feature,funkcja
feedback,informacje zwrotne
feeling,uczucie
fence,ogrodzenie
festival,festiwal
fetch,sprowadzać
few,mało
filthy,brudny
flavour,smak
flood,powódź
fold,zagięcie
foreign,obcy
fork,widelec
formal,formalny
formally,formalnie
formation,tworzenie
fortnight,dwa tygodnie
fortunate,szczęśliwy
foundation,Fundacja
freeway,droga wolna
freezer,zamrażarka
frequently,często
fuel,paliwo
function,funkcjonować
fundamental,fundamentalny
fuss,zamieszanie
gallery,Galeria
garlic,czosnek
gather,zbierać
gear,koło zębate
gene,gen
generally,ogólnie
generation,Pokolenie
gentle,delikatny
genuine,prawdziwy
glance,spojrzenie
global,światowy
govern,rządzić
gradually,stopniowo
grammar,gramatyka
graph,wykres
grass,trawa
grocery,sklep spożywczy
halfway,W połowie drogi
handbag,torebka
headquarter,centrala
height,wysokość
hence,W związku z tym
hesitate,wahać się
highlight,atrakcja
highway,Autostrada
historian,historyk
historical,historyczny
hold,utrzymać
holder,uchwyt
holding,trzymać
household,gospodarstwo domowe
housing,mieszkaniowy
heavily,ciężko
ice cream,lody
ideal,ideał
identify,zidentyfikować
illness,choroba
illustrate,zilustrować
impact,wpływ
implement,wprowadzić w życie
implication,implikacja
imply,sugerować
import,import
impose,narzucać
improvement,poprawa
improve,ulepszać
income,dochód
independence,niezależność
independent,niezależny
index,indeks
individual,indywidualny
inevitably,nieuchronnie
infant,Dziecko
infection,zakażenie
inflation,inflacja
initial,Inicjał
initiative,inicjatywa
innovation,innowacja
input,Wejście
inquiry,zapytanie ofertowe
install,zainstalować
instance,instancja
instant,natychmiastowy
instruction,instrukcja
investment,inwestycja
involvement,uwikłanie
jumper,skoczek
justify,uzasadniać
luckily,szczęśliwie
lounge,hol
limitation,ograniczenie
lighting,oświetlenie
locate,Znajdź
mud,błoto
motorway,Autostrada
mortgage,hipoteka
moreover,Ponadto
mobile phone,telefon komórkowy
mixture,mieszanina
numerous,liczny
nuisance,kłopot
nuclear,jądrowy
nowadays,dzisiaj
novel,powieść
notion,pojęcie
notably,szczególnie
noisy,głośny
newly,nowo
nevertheless,Niemniej jednak
objective,cel
occasionally,sporadycznie
occupation,zawód
opponent,przeciwnik
opposition,sprzeciw
ordinary,zwyczajny
organ,organ
organic,organiczny
organization,organizacja
organize,zorganizować
origin,pochodzenie
originally,pierwotnie
outcome,wynik
output,wynik
outstanding,wybitny
oven,piekarnik
overall,ogólny
overcome,przezwyciężać
overtime,z biegiem czasu
owe,zawdzięczać
pursue,kontynuować
purple,fioletowy
purely,czysto
purchase,zakup
pudding,pudding
publish,publikować
publicity,reklama
publication,publikacja
psychology,psychologia
psychological,psychologiczny
provision,zaopatrzenie
providing,dostarczanie
protest,protest
prosecution,oskarżenie
proportion,proporcja
properly,prawidłowo
prompt,skłonić
promotion,awans
promote,promować
profit,zysk
profession,zawód
producer,producent
produce,produkować
privilege,przywilej
prior,wcześniejszy
printer,drukarka
principle,zasada
principal,dyrektor
primary,podstawowa
previously,poprzednio
previous,poprzedni
prevent,zapobiec
presumably,prawdopodobnie
preserve,zachować
presentation,prezentacja
preference,pierwszeństwo
precisely,dokładnie
precise,precyzyjny
prayer,modlitwa
practical,praktyczny
poverty,ubóstwo
pour,wlać
poster,plakat
possession,posiadanie
possess,posiadać
pond,staw
pollution,zanieczyszczenie
poll,głosowanie
politics,Polityka
pole,Polak
poetry,poezja
poet,poeta
plot,wątek
platform,Platforma
pitch,smoła
pipe,rura
pint,pół kwarty
pile,stos
pill,pigułka
physics,fizyka
physically,fizycznie
phrase,wyrażenie
photograph,fotografia
photocopy,kserokopia
philosophy,filozofia
phase,faza
persuade,namawiać
permit,pozwolić
percentage,odsetek
perceive,dostrzec
peak,szczyt
peaceful,spokojna
quote,zacytować
racing,wyścigi
radical,rodnik
rapidly,szybko
ratio,stosunek
raw,surowy
reader,czytelnik
readily,łatwo
realistic,realistyczny
recipe,Przepis
reckon,liczyć się
recommend,polecić
recover,wyzdrowieć
reduction,zmniejszenie
refer,odnosić się
reflect,odzwierciedlić
reform,reforma
regard,wzgląd
regime,reżim
regularly,regularnie
reject,odrzucać
relate,odnosić się
relation,relacja
relative,krewny
relieve,łagodzić: uśmierzać
religion,religia
remark,uwaga
reserve,rezerwować
resort,Ośrodek wczasowy
resource,ratunek
respond,odpowiadać
restore,przywracać
restrict,ograniczać
restriction,ograniczenie
retire,przejść na emeryturę
reveal,odsłonić
revolution,rewolucja
sack,worek
scientific,naukowy
scope,zakres
secondly,po drugie
seize,chwycić
selection,wybór
sharply,ostro
shave,golić się
shell,muszla
shelter,schron
shine,blask
shortly,wkrótce
should,powinien
shove,pchnięcie
shrug,wzruszać ramionami
similarly,podobnie
sin,grzech
skirt,Spódnica
slide,ślizgać się
slight,niewielki
slightly,nieco
slope,nachylenie
sock,skarpetka
soil,gleba
spray,rozpylać
starve,głodować
status,status
steel,stal
storage,przechowywanie
strain,odcedzić
straw,słoma
stream,strumień
strongly,silnie
structure,Struktura
substance,substancja
succeed,osiągnąć sukces
sufficient,wystarczający
surprising,zaskakujący
surround,otaczać
survey,Ankieta
survival,przetrwanie
suspicion,podejrzenie
swap,zamiana
sympathy,współczucie
tendency,tendencja
tent,namiot
tidy,uporządkowane
tin,cyna
ton,tona
trend,tendencja
tricky,zdradliwy
tune,melodia
tunnel,tunel
tyre,opona
ultimate,ostateczny
understanding,zrozumienie
unemployed,bezrobotny
unfortunate,niefortunny
unique,wyjątkowy
unknown,nieznany
upper,górny
urban,miejski
urge,popęd
urgent,pilne
used,używany
valuable,cenny
various,różnorodny
vehicle,pojazd
virtually,wirtualnie
virtue,cnota
visible,widoczny
visitor,gość
vital,istotny
voluntary,dobrowolny
withdraw,wycofać
widespread,rozpowszechniony
widely,szeroko
whisper,szept
youngster,młodzik
gut,jelito
crocodile,krokodyl
dialect,dialekt
e-book,e-book
hearty,serdeczny
incurable,nieuleczalny
jockey,oszukać
junk food,niezdrowe jedzenie
mania,mania
margarine,margaryna
mosque,Meczet
preposition,przyimek
proclaim,głosić
shiver,dreszcz
skilful,umiejętny
socket,gniazdo elektryczne
sportsman,sportowiec